strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
LASV267-NIG-2010_KM822053_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822053	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822053	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV271-NIG-2010_KM822055_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822055	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822055	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV274-NIG-2010_KM822057_2010-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822057	2010-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822057	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV711-NIG-2009_KM822059_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822059	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822059	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV716-NIG-2009_KM822060_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822060	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822060	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV719-NIG-2009_KM822062_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822062	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822062	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV736-NIG-2009_KM822063_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822063	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822063	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV737-NIG-2009_KM822065_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822065	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822065	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV738-NIG-2009_KM822066_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822066	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822066	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV966-NIG-2009_KM822069_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822069	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822069	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV967-NIG-2009_KM822071_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822071	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822071	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV969-NIG-2009_KM822072_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822072	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822072	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV971-NIG-2009_KM822074_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822074	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822074	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV975-NIG-2009_KM822076_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822076	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822076	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV976-NIG-2009_KM822078_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822078	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822078	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV977-NIG-2009_KM822080_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822080	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822080	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV978-NIG-2009_KM822082_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822082	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822082	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV979-NIG-2009_KM822084_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822084	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822084	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV981-NIG-2009_KM822086_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822086	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822086	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV982-NIG-2009_KM822088_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822088	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822088	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV988-NIG-2009_KM822089_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822089	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822089	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV989-NIG-2009_KM822091_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822091	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822091	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV990-NIG-2009_KM822093_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822093	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822093	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV991-NIG-2009_KM822095_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822095	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822095	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV992-NIG-2009_KM822097_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822097	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822097	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV993-NIG-2009_KM822099_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822099	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822099	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV1000-NIG-2009_KM822101_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822101	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822101	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV1008-NIG-2009_KM822103_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822103	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822103	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV1011-NIG-2009_KM822105_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822105	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822105	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV1015-NIG-2009_KM822107_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822107	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822107	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LASV1016-NIG-2009_KM822109_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	KM822109	2009-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822109	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LM395-SLE-2009_KM822115_2009-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822115	2009-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822115	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LM765-SLE-2012_KM822117_2012-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822117	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822117	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LM774-SLE-2012_KM822120_2012-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822120	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822120	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LM776-SLE-2012_KM822122_2012-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822122	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822122	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LM778-SLE-2012_KM822124_2012-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822124	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822124	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
LM779-SLE-2012_KM822126_2012-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822126	2012-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822126	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
Z0947-SLE-2011_KM822130_2011-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822130	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822130	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
Z0948-SLE-2011_KM822132_2011-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KM822132	2011-XX-XX	Sierra Leone	Sierra Leone	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822132	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
Soromba-R_KF478765_2009-06-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KF478765	2009-06-XX	Mali	Mali	MISSING	Safronetz et al	https://www.ncbi.nlm.nih.gov/nuccore/KF478765	Geographic distribution and genetic characterization of Lassa virus	PLoS Negl Trop Dis 7 (12), E2582 (2013)	https://pubmed.ncbi.nlm.nih.gov/24340119
Bamba-R114_KF478766_2012-03-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KF478766	2012-03-XX	Mali	Mali	MISSING	Safronetz et al	https://www.ncbi.nlm.nih.gov/nuccore/KF478766	Geographic distribution and genetic characterization of Lassa virus	PLoS Negl Trop Dis 7 (12), E2582 (2013)	https://pubmed.ncbi.nlm.nih.gov/24340119
Komina-R16_KF478767_2012-03-03	Mammarenavirus lassaense	S	Mastomys natalensis	KF478767	2012-03-03	Mali	Mali	MISSING	Safronetz et al	https://www.ncbi.nlm.nih.gov/nuccore/KF478767	Geographic distribution and genetic characterization of Lassa virus	PLoS Negl Trop Dis 7 (12), E2582 (2013)	https://pubmed.ncbi.nlm.nih.gov/24340119
Ouoma-R123_KF478768_2012-03-XX	Mammarenavirus lassaense	S	Mastomys natalensis	KF478768	2012-03-XX	Mali	Mali	MISSING	Safronetz et al	https://www.ncbi.nlm.nih.gov/nuccore/KF478768	Geographic distribution and genetic characterization of Lassa virus	PLoS Negl Trop Dis 7 (12), E2582 (2013)	https://pubmed.ncbi.nlm.nih.gov/24340119
Soromba-R30_KF478769_2012-03-03	Mammarenavirus lassaense	S	Mastomys natalensis	KF478769	2012-03-03	Mali	Mali	MISSING	Safronetz et al	https://www.ncbi.nlm.nih.gov/nuccore/KF478769	Geographic distribution and genetic characterization of Lassa virus	PLoS Negl Trop Dis 7 (12), E2582 (2013)	https://pubmed.ncbi.nlm.nih.gov/24340119
Josiah_JN650517_reverse_complement_1976-03-11	Mammarenavirus lassaense	S	Homo sapiens	JN650517	1976-03-11	Sierra Leone: Songo Hospital, Sebgwema	Sierra Leone	MISSING	Bjornson-Hooper et al	https://www.ncbi.nlm.nih.gov/nuccore/JN650517	Direct Submission	Submitted (22-AUG-2011) Virology, United States Army Medical	MISSING
Josiah_HQ688672_2011-04-07	Mammarenavirus lassaense	S	MISSING	HQ688672	2011-04-07	MISSING	MISSING	MISSING	Albarino et al	https://www.ncbi.nlm.nih.gov/nuccore/HQ688672	Efficient rescue of recombinant lassa virus reveals the influence	J. Virol. 85 (8), 4020-4024 (2011)	https://pubmed.ncbi.nlm.nih.gov/21307206
recombinant_Josiah_HQ688673_2011-04-07	Mammarenavirus lassaense	S	MISSING	HQ688673	2011-04-07	MISSING	MISSING	MISSING	Albarino et al	https://www.ncbi.nlm.nih.gov/nuccore/HQ688673	Efficient rescue of recombinant lassa virus reveals the influence	J. Virol. 85 (8), 4020-4024 (2011)	https://pubmed.ncbi.nlm.nih.gov/21307206
Nig08-04_GU481068_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU481068	2008-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/GU481068	Lassa fever, Nigeria, 2005-2008	Emerging Infect. Dis. 16 (6), 1040-1041 (2010)	https://pubmed.ncbi.nlm.nih.gov/20507773
Nig08-A18_GU481070_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU481070	2008-XX-XX	Nigeria: Plateau State	Nigeria	MISSING	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/GU481070	Lassa fever, Nigeria, 2005-2008	Emerging Infect. Dis. 16 (6), 1040-1041 (2010)	https://pubmed.ncbi.nlm.nih.gov/20507773
Nig08-A19_GU481072_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU481072	2008-XX-XX	Nigeria: Plateau State	Nigeria	MISSING	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/GU481072	Lassa fever, Nigeria, 2005-2008	Emerging Infect. Dis. 16 (6), 1040-1041 (2010)	https://pubmed.ncbi.nlm.nih.gov/20507773
Nig08-A37_GU481074_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU481074	2008-XX-XX	Nigeria: Edo State	Nigeria	MISSING	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/GU481074	Current molecular epidemiology of lassa virus in Nigeria	J. Clin. Microbiol. 49 (3), 1157-1161 (2011)	https://pubmed.ncbi.nlm.nih.gov/21191050
Nig08-A41_GU481076_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU481076	2008-XX-XX	Nigeria: Edo State	Nigeria	MISSING	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/GU481076	Current molecular epidemiology of lassa virus in Nigeria	J. Clin. Microbiol. 49 (3), 1157-1161 (2011)	https://pubmed.ncbi.nlm.nih.gov/21191050
Nig08-A47_GU481078_2008-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU481078	2008-XX-XX	Nigeria: Edo State	Nigeria	MISSING	Ehichioya et al	https://www.ncbi.nlm.nih.gov/nuccore/GU481078	Current molecular epidemiology of lassa virus in Nigeria	J. Clin. Microbiol. 49 (3), 1157-1161 (2011)	https://pubmed.ncbi.nlm.nih.gov/21191050
Lib05-406_90_GU830814_2005-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830814	2005-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830814	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib05-2406_129_GU830817_2005-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830817	2005-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830817	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib05-3800_GU830818_2005-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830818	2005-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830818	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib05-4094_GU830819_2005-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830819	2005-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830819	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib06-120_GU830820_2006-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830820	2006-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830820	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib06-174_GU830821_2006-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830821	2006-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830821	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib06-295_GU830822_2006-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830822	2006-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830822	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Lib06-383_GU830823_2006-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	GU830823	2006-XX-XX	Liberia	Liberia	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830823	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
BA366_GU830839_2003-XX-XX	Mammarenavirus lassaense	S	Mastomys natalensis	GU830839	2003-XX-XX	Guinea	Guinea	MISSING	Olschlager et al	https://www.ncbi.nlm.nih.gov/nuccore/GU830839	Improved detection of Lassa virus by reverse transcription-PCR	J. Clin. Microbiol. 48 (6), 2009-2013 (2010)	https://pubmed.ncbi.nlm.nih.gov/20351210
Macenta_AY628201_reverse_complement_2004-08-18	Mammarenavirus lassaense	S	MISSING	AY628201	2004-08-18	MISSING	MISSING	MISSING	Hajjaj et al	https://www.ncbi.nlm.nih.gov/nuccore/AY628201	Direct Submission	Submitted (18-MAY-2004) Viral Sequencing Group, Lawrence Livermore	MISSING
Josiah_AY628203_reverse_complement_2004-08-18	Mammarenavirus lassaense	S	MISSING	AY628203	2004-08-18	MISSING	MISSING	MISSING	Hajjaj et al	https://www.ncbi.nlm.nih.gov/nuccore/AY628203	Direct Submission	Submitted (18-MAY-2004) Viral Sequencing Group, Lawrence Livermore	MISSING
Z148_AY628205_reverse_complement_2004-08-18	Mammarenavirus lassaense	S	MISSING	AY628205	2004-08-18	MISSING	MISSING	MISSING	Hajjaj et al	https://www.ncbi.nlm.nih.gov/nuccore/AY628205	Direct Submission	Submitted (18-MAY-2004) Viral Sequencing Group, Lawrence Livermore	MISSING
Weller_AY628206_reverse_complement_2004-08-18	Mammarenavirus lassaense	S	MISSING	AY628206	2004-08-18	MISSING	MISSING	MISSING	Hajjaj et al	https://www.ncbi.nlm.nih.gov/nuccore/AY628206	Direct Submission	Submitted (18-MAY-2004) Viral Sequencing Group, Lawrence Livermore	MISSING
Pinneo_AY628207_reverse_complement_2004-08-18	Mammarenavirus lassaense	S	MISSING	AY628207	2004-08-18	MISSING	MISSING	MISSING	Hajjaj et al	https://www.ncbi.nlm.nih.gov/nuccore/AY628207	Direct Submission	Submitted (18-MAY-2004) Viral Sequencing Group, Lawrence Livermore	MISSING
Acar_3080_AY628208_reverse_complement_2004-08-18	Mammarenavirus lassaense	S	MISSING	AY628208	2004-08-18	MISSING	MISSING	MISSING	Hajjaj et al	https://www.ncbi.nlm.nih.gov/nuccore/AY628208	Direct Submission	Submitted (18-MAY-2004) Viral Sequencing Group, Lawrence Livermore	MISSING
